id	sample_title	source	stage	source_stage
SRR11575029	Soil_fruitset1	Soil	Fruitset	SoilFruitset
SRR11575028	Soil_fruitset2	Soil	Fruitset	SoilFruitset
SRR11575027	Soil_fruitset3	Soil	Fruitset	SoilFruitset
SRR11575026	Soil_fruitset4	Soil	Fruitset	SoilFruitset
SRR11575025	Soil_fruitset5	Soil	Fruitset	SoilFruitset
SRR11575007	Soil_harvest1	Soil	Harvest	SoilHarvest
SRR11575006	Soil_harvest2	Soil	Harvest	SoilHarvest
SRR11575005	Soil_harvest3	Soil	Harvest	SoilHarvest
SRR11575004	Soil_harvest4	Soil	Harvest	SoilHarvest
SRR11575003	Soil_harvest5	Soil	Harvest	SoilHarvest
SRR11575063	Grape_fruitset1	Grape	Fruitset	GrapeFruitset
SRR11575052	Grape_fruitset2	Grape	Fruitset	GrapeFruitset
SRR11575041	Grape_fruitset3	Grape	Fruitset	GrapeFruitset
SRR11575030	Grape_fruitset4	Grape	Fruitset	GrapeFruitset
SRR11575019	Grape_fruitset5	Grape	Fruitset	GrapeFruitset
SRR11574981	Grape_harvest1	Grape	Harvest	GrapeHarvest
SRR11574980	Grape_harvest2	Grape	Harvest	GrapeHarvest
SRR11574979	Grape_harvest3	Grape	Harvest	GrapeHarvest
SRR11574978	Grape_harvest4	Grape	Harvest	GrapeHarvest
SRR11574977	Grape_harvest5	Grape	Harvest	GrapeHarvest